車次,站點1,站點2,站點3,站點4,站點5,站點6,站點7,站點8,站點9,站點10,站點11,站點12,站點13,站點14,站點15,站點16,站點17,站點18,站點19,站點20,站點21,站點22,站點23,站點24,站點25,站點26,站點27,站點28,站點29,站點30,站點31,站點32,站點33,站點34,站點35,站點36,站點37,站點38,站點39,站點40,站點41,站點42,站點43,站點44,站點45,站點46,站點47,站點48,站點49,站點50,站點51,站點52,站點53,站點54,站點55,站點56,站點57,站點58,站點59,站點60,站點61,站點62,站點63,站點64,站點65,站點66,站點67,站點68,站點69,站點70,站點71,站點72,站點73,站點74,站點75,站點76,站點77,站點78,站點79,站點80,站點81,站點82,站點83,站點84,站點85,站點86,站點87,站點88,站點89,站點90,站點91,站點92,站點93,站點94,站點95,站點96,站點97,站點98,站點99,站點100,站點101,站點102,站點103,站點104,站點105,站點106,站點107,站點108,站點109,站點110,站點111,站點112,站點113,站點114,站點115,站點116,站點117,站點118,站點119,站點120,站點121,站點122,站點123,站點124,站點125,站點126,站點127,站點128,站點129,站點130,站點131,站點132,站點133,站點134,站點135,站點136,站點137,站點138,站點139,站點140,站點141,站點142,站點143,站點144,站點145,站點146,站點147,站點148,站點149,站點150,站點151,站點152,站點153,站點154,站點155,站點156,站點157,站點158
106,建德國小,建新吉多街口,德豐街口,介壽保羅街口,三民介壽路口,三民建國路口,南華街口,民族路口,統領百貨,今日飯店,民生成功路口,關帝廟,鴻福寺,北門口,北門新村,臺灣菸酒公司,北門國小,文昌國中,瓦斯公司,大興路口,永吉新村,新埔國宅,春日健行路口,鹽庫西街口,水汴頭,許厝,煉油廠,加油站,甘蔗園橋,力捷公司,南上里,甘蔗園,頂南崁,大同公司,土地公廟,星河社區,光明郵局,麗寶經典,奉化忠孝西路口,奉化南順一街口,南竹奉化路口,南竹南昌路口,光明國中(南竹路),錦興國小(光復路),光復桃園街口,南山路口,南崁市場,蘆竹區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112N,中壢客運中壢總站,中壢農會,中央市場,埔頂橋,中山東路口,中山東中北路口,普仁(中原夜市),普仁新村,環中東路口,榮民服務處,普仁國小,金鋒市場,六泰新村,龍慈路口,仁美,電信器材場,富台國小,富台,龍文街正義路口,龍東中山東路口,基安二村,龍文街口,忠貞,貿易七村,龍東路,供應站,龍岡圓環,龍江公寓,伯公廟,游泳路口,龍岡森林公園,馬祖新村,龍仁龍泉街口,頂石頭,中興莊,龍岡國小,健行科技大學,龍岡橋,中北路口,中壢分局,中壢客運中壢總站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,桃園總站,大湳,梅花社區,僑愛國小(金蘭醬油博物館),崎頂(原住民文化會館),新街尾(和平老街),大溪站,三層(打鐵寮古道),大溪陵寢,草嶺腳(富田農場),慈湖,湳溝(舊百吉隧道),百吉(五路財神廟),水流東(大溪老茶廠),角板山行館,小烏來,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502(繞駛阿姆坪),桃園總站,大湳,梅花社區,僑愛國小(金蘭醬油博物館),崎頂(原住民文化會館),新街尾(和平老街),大溪站,三層(打鐵寮古道),大溪陵寢,草嶺腳(富田農場),慈湖,湳溝(舊百吉隧道),百吉(五路財神廟),阿姆坪碼頭,水流東(大溪老茶廠),角板山行館,小烏來,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,桃園客運大溪總站,大溪站,三層(打鐵寮古道),大溪陵寢,草嶺腳(富田農場),慈湖,湳溝(舊百吉隧道),百吉(五路財神廟),水流東(大溪老茶廠),角板山公園,東眼山國家森林遊樂區(下客站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,中壢客運中壢總站,中壢監理站,新街,中壢聯合辦公大樓,中壢簡易庭,中園育樂街口,中園福州二街口,中福派出所,啟英高中,玉尊宮,土地宮,桃園大圳橋,萬能科技大學,賴厝,謝厝,大江購物中心,鄉界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,中壢客運桃園站,桃園郵局,永和市場,成功國小,永安路口,九崁店,民安路口,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安北路,埔子,中埔國小,星見橋,十三號坡,三和公司,八角店,富吉,八股坡,上興路口,大竹消防隊,上興興中街口 ,京采故鄉,大福路口,胡厝,蘆竹親子館(大竹),大竹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,中壢客運桃園站,桃花園飯店,南華街口,三民建國路口,三民介壽路口,桃園監理站,利台,力行街口,無線電台,小大湳,忠勇西街站(G05),廣豐新天地,陸光四村,大湳站(G04),大成國小,建國路,福國街口,打鐵店,藝墅天地,建國路631巷口,大千社區,富榮,大庄,大雅新城,崙子,崙子路口,八德教養院,八德區公所(三元宮),八德區公所(農會),八德國中,興豐友聯街口,聯福巷,更寮腳(興豐路),興豐路口,家榮社區,國防大學,榮民安養中心,榮民之家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,中壢客運中壢總站,第一銀行,第一市場,河川教育中心,舊社,新明國中(民族路),廣興,仁愛新村,青果市場,五權,祐民醫院,高雙里,三民五興路口,土地公廟,三民中正路口,中央大學正門,中央大學警衛室,中大湖,中央大學依仁堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,八德區公所(農會),八德國中,興豐友聯街口,聯福巷,更寮腳(介壽路),瑞發家園,瑞豐國小(桃園防災教育館),松柏園,欣桃社區,梅花社區,麻園站(G03),鴻昌社區,瑞祥社區,大湳站(G04),陸光四村,廣豐新天地,忠勇西街站(G05),小大湳,無線電台站,力行街口,利台,桃園監理站,介壽保羅路口,介壽建國路口,民族路口,中華南華街口,南門市場,三民中山路口,桃園國中,成功國小,三民民生路口,春日路口,新檜溪橋,慈文路口,經國麗品,經國大興路口,敏盛醫院,巴黎富邑,經國南平路口,中悅春天,經國莊敬路口,經國轉運站(幸福路口),長榮加油站,亞建公司,長榮,南崁,台茂,下南崁,南亞(好市多),溪洲,台灣松下,三商,水尾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
